Player,A Fake Artist Goes to New York,Agricola (Revised Edition),Anomia: Party Edition,Arcs,Arcs: The Blighted Reach Expansion,Art Society,Azul,Blood on the Clocktower,Brass: Birmingham,Cascadia,Clank!: A Deck-Building Adventure,Codenames,Cryptid,DaDaDa,Dead Last,Dead of Winter: A Crossroads Game,Deep Sea Adventure,Don't Get Got!,Dune: Imperium – Uprising,Dune (1979),Durian,Eclipse: Second Dawn for the Galaxy,El Grande,Everdell,Exploding Kittens,Fit to Print,Fort,Furnace,Galaxy Trucker (Second Edition),Great Western Trail: Second Edition,Harmonies,Heat: Pedal to the Metal,Hegemony: Lead Your Class to Victory,Herd Mentality,Inhuman Conditions,Istanbul,Jaipur,Just One,Kingdomino,Lacuna,Lost Cities,Lost Ruins of Arnak,Mansions of Madness: Second Edition,Maskmen,MicroMacro: Crime City – Full House,MLEM: Space Agency,Monikers: Serious Nonsense,Monopoly,Monopoly Deal,Nemesis,Onitama,PARKS,Pax Pamir: Second Edition,Perudo,Queendomino,Quest (Avalon),Ra,Race for the Galaxy,Rival Restaurants,Root,SCOUT,Scythe,Sea Salt & Paper,SETI: Search for Extraterrestrial Intelligence,Skull,Sky Team,Sleeping Gods,Spicy,Spirit Island,Splendor,Startups,Taco Cat Goat Cheese Pizza,Take 5 (6Nimmit),Telestrations After Dark,Terraforming Mars,That's Not a Hat,The Castles of Burgundy,The Lord of the Rings: Duel for Middle-earth,The Mind,The Quest for El Dorado: The Golden Temples,The Search for Planet X,Thunder Road: Vendetta,Trekking Through History,Trio,Twilight Imperium: Fourth Edition,Two Rooms and a Boom,Ultimate Werewolf: Deluxe Edition,UNO,Wavelength
kim trux,,-2.0,,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,-1.0,1.0,,0.0,1.0,,1.0,1.0,0.0,,1.0,1.0,,2.0,0.0,1.0,,-1.0,0.0,1.0,1.0,,,0.0,2.0,-1.0,2.0,1.0,2.0,2.0,,1.0,2.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,,1.0,,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,-1.0,1.0,-1.0,1.0,1.0,1.0,2.0,,1.0,-1.0,2.0,1.0,2.0,,1.0,-2.0,2.0,2.0,,0.0,-1.0,-1.0,2.0
Phan,,2.0,,-1.0,,,,0.0,2.0,,2.0,,2.0,,,2.0,1.0,-1.0,2.0,,,2.0,,,0.0,2.0,,1.0,,2.0,,1.0,2.0,,,1.0,0.0,2.0,2.0,-1.0,,2.0,,1.0,,2.0,,,,2.0,,2.0,2.0,,,,-1.0,,,-1.0,1.0,2.0,2.0,,,2.0,,,,2.0,,0.0,,,2.0,,2.0,1.0,,,2.0,,,2.0,-1.0,,,,1.0
hoa,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,,,,0.0,2.0,,,,1.0,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,0.0,2.0,2.0,0.0,,1.0,,,,,,,0.0,,,,,,,,-1.0,,,1.0,,,2.0,,,2.0,2.0,
Phạm Ngọc Minh Châu,,2.0,1.0,,,2.0,2.0,-2.0,2.0,0.0,1.0,2.0,,1.0,,,0.0,,,,,,,,-2.0,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,-1.0,2.0,0.0,0.0,1.0,,,,,1.0,,1.0,,2.0,,2.0,,0.0,2.0,-1.0,2.0,,0.0,,2.0,-1.0,2.0,1.0,,,1.0,2.0,2.0,1.0,,,-1.0,1.0,2.0,,,-1.0,1.0,2.0
Linh Nguyen,,,0.0,-1.0,,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-2.0,-1.0,0.0,2.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,,,,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,2.0,,1.0,0.0,,,0.0,0.0,0.0,2.0,0.0,1.0,,1.0,,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,,,-2.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,
Dex,-1.0,1.0,1.0,1.0,,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,,,-1.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,,2.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,-1.0,0.0,0.0,1.0,-2.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,-2.0,0.0,0.0
Nguyen,,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,,0.0,0.0,,,0.0,0.0,,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,,0.0,1.0,2.0,2.0,2.0,2.0,0.0,,1.0,2.0,1.0,1.0,,,2.0,2.0,0.0,1.0,0.0,,0.0,0.0,2.0,,,2.0,,1.0,,1.0,0.0,0.0,0.0,1.0,2.0,,,0.0,-1.0,,,,1.0,,1.0,,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,,,2.0,1.0,,,1.0,1.0
Thuy Mac,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,0.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,
Lien,,,,2.0,,,2.0,2.0,2.0,1.0,,,2.0,,,2.0,,,,,,1.0,,1.0,0.0,,,,,,1.0,0.0,,,-1.0,,0.0,,,-1.0,,2.0,2.0,,-1.0,,,-1.0,1.0,,,,,,,,,,-1.0,2.0,,,,,0.0,2.0,,,,0.0,,,,,2.0,2.0,2.0,2.0,1.0,,2.0,,,2.0,,,2.0,0.0,
trang,,1.0,0.0,,,,1.0,0.0,1.0,,1.0,0.0,2.0,,,0.0,0.0,,,,,1.0,,0.0,-2.0,1.0,,,,,,0.0,,0.0,,1.0,1.0,,1.0,0.0,,1.0,,,,1.0,,-2.0,-2.0,,,1.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,-1.0,,,,,,0.0,-1.0,,2.0,,,,,,-2.0,0.0,
chau,,2.0,0.0,,,,1.0,-1.0,1.0,1.0,2.0,,,0.0,,,1.0,,1.0,,,,2.0,,-1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,,1.0,0.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,2.0,1.0,2.0,,0.0,,,2.0,,,,2.0,,,,,,,1.0,1.0,0.0,2.0,2.0,,2.0,2.0,,-1.0,-1.0,0.0,
Nhật Anh,,,1.0,,,,0.0,1.0,,1.0,,0.0,,,,,,,0.0,,1.0,,,1.0,0.0,,,,,,1.0,-1.0,,0.0,1.0,,,,,,,,1.0,1.0,,,,0.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,0.0,,,,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0
Phuc ,,2.0,1.0,2.0,,1.0,0.0,,1.0,0.0,,,0.0,,,,,,2.0,,0.0,2.0,,,0.0,,,,-1.0,,,-1.0,,,,-1.0,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,2.0,1.0,,,1.0,,-1.0,,,,1.0,,,,,2.0,,,,,,,,,0.0,0.0,,-2.0,,1.0
Nguyễn Quang Hung,,,0.0,,,,,1.0,2.0,,,0.0,,,,0.0,,,1.0,,,,,,-1.0,,,,,,,2.0,,2.0,,,,,,,,,2.0,2.0,,,,2.0,,0.0,,,,,,,,,2.0,2.0,,1.0,,2.0,1.0,,,,,,,0.0,,,2.0,,,,,,,,,1.0,,-1.0,1.0,-1.0,
Bạn Mai Mèo,,2.0,-1.0,0.0,,,1.0,-1.0,,0.0,,,1.0,,,,,,1.0,,,2.0,,,,1.0,2.0,,,,,2.0,,,,2.0,1.0,,,,2.0,,1.0,,,1.0,,,,,,2.0,0.0,,,,,,1.0,-2.0,1.0,1.0,,1.0,,,,,,,,-1.0,2.0,,1.0,,,,,2.0,2.0,1.0,,,,,,,
Giang,,,,,,,1.0,1.0,2.0,1.0,,0.0,,,,0.0,,,,,,,,,0.0,2.0,,,,,2.0,2.0,,,,,2.0,,2.0,,2.0,,2.0,2.0,0.0,2.0,,0.0,0.0,,,1.0,,,,,2.0,,0.0,2.0,-1.0,,,,0.0,,,0.0,,,,,,,2.0,,,,-1.0,,1.0,,2.0,,,0.0,0.0,0.0,
