,Bạn Mai Mèo,Chi,Giang,Lien,Nguyen,Nguyễn Quang Hung,Nhật Anh,Phan,Phuc ,Phạm Ngọc Minh Châu,Thuy Mac,chau,hoa,trang
kim trux,,,,,,0.68,0.67,,,0.65,0.69,0.67,,
Phan,0.85,0.79,,,,,,,,,0.79,0.82,,0.76
hoa,,0.72,0.75,,,0.78,0.76,,,,0.86,,,
Phạm Ngọc Minh Châu,0.75,,,,,0.73,0.72,,,,0.77,0.86,,
Linh Nguyen,,0.43,,,,,0.49,0.43,,,0.45,,0.5,
Dex,,0.61,,0.6,0.6,,,,0.62,,,,,0.66
Nguyen,,0.77,0.78,0.71,,,0.73,,,,0.79,,,
Thuy Mac,,0.83,0.84,,,0.87,0.9,,,,,,0.86,
Lien,,0.76,0.79,,,0.76,0.8,,,,0.82,,,
trang,0.79,,0.76,,,,,0.76,0.73,,,0.76,,
chau,0.84,0.83,,,,0.85,,0.82,,0.86,,,,
Nhật Anh,,0.8,0.77,0.8,,0.79,,,,,0.9,,,
Phuc ,,,0.72,,,,0.71,,,,0.73,0.71,,0.73
Nguyễn Quang Hung,,0.82,0.87,,,,0.79,,,,0.87,0.85,,
Bạn Mai Mèo,,0.78,,,,,,0.85,,0.75,,0.84,,0.79
Giang,,0.82,,0.79,,0.87,,,,,0.84,0.8,,
Chi,,,0.82,,,0.82,0.8,,,,0.83,0.83,,
Khuê,,,,0.68,,,0.69,0.68,,0.71,0.71,,,
